label,uid,task_id,adv_id,creat_type_cd,adv_prim_id,dev_id,inter_type_cd,slot_id,spread_app_id,tags,app_first_class,app_second_class,age,city,city_rank,device_name,device_size,career,gender,net_type,residence,his_app_size,his_on_shelf_time,app_score,emui_dev,list_time,device_price,up_life_duration,up_membership_grade,membership_life_duration,consume_purchase,communication_onlinerate,communication_avgonline_30d,indu_name,pt_d
0,2225551,3439,5461,7,133,37,5,12,34,13,4,25,3,121,3,42,141,2,2,2,34,17,3,2,20,8,2,20,-1,-1,2,8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,9,17,5
0,2000051,5390,1226,7,177,56,5,16,31,40,4,25,5,193,5,32,141,9,2,2,20,13,3,2,20,4,5,-1,-1,-1,2,1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,13,17,5
0,1736465,3327,4163,6,207,17,5,18,13,37,4,21,5,380,5,87,117,9,2,2,12,4,3,2,28,5,4,18,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,5
0,1490703,1132,1329,7,111,60,4,14,23,26,2,22,4,431,3,69,310,6,2,2,37,-1,-1,1,20,12,5,18,-1,-1,10,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,22,5
0,1381720,3401,1766,7,156,56,5,11,58,37,4,21,6,337,3,38,162,4,2,2,37,14,3,2,20,4,4,20,-1,-1,2,5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,5
0,1032873,4159,1284,6,139,60,3,11,78,23,2,23,4,193,5,38,162,4,2,3,20,-1,-1,1,20,4,4,18,-1,-1,5,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,13,38,5
0,1275215,3869,6751,7,130,30,5,13,28,39,4,17,5,340,3,54,141,4,2,2,43,6,2,2,12,9,3,20,1,-1,8,5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,36,5
0,1370708,4975,1249,6,193,37,5,18,50,37,4,21,6,231,5,87,117,9,2,2,20,6,3,2,28,5,4,18,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,17,5
0,1037976,3323,5998,7,110,60,5,17,53,28,2,27,4,221,5,75,141,9,2,2,12,-1,-1,1,20,8,5,18,-1,-1,2,3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,24,5
1,1166769,2389,5768,7,177,56,5,17,31,40,4,25,5,422,3,91,310,3,4,2,43,13,3,2,20,14,5,18,-1,-1,5,2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,17,5
0,2199231,4485,4006,3,142,60,5,17,80,41,2,26,4,194,3,104,141,6,2,3,42,-1,-1,1,27,14,5,20,-1,-1,5,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,24,5
0,1181595,4982,5389,7,175,37,4,12,34,13,4,25,6,304,3,48,141,9,2,3,35,17,3,2,14,10,3,-1,-1,-1,2,7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,17,5
0,2141609,1924,2502,7,193,37,5,14,50,37,4,21,4,262,5,32,141,9,2,2,46,6,3,2,20,4,5,20,-1,-1,2,2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,5
0,1475636,3071,4591,7,109,29,5,16,86,37,4,21,4,416,5,56,141,9,2,3,12,4,3,2,20,8,4,-1,-1,-1,2,3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,5
0,1150362,1899,3130,7,206,64,5,13,22,39,4,17,4,287,2,74,141,9,2,2,43,4,3,2,20,8,2,-1,-1,-1,2,8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,36,5
0,1458902,2112,6869,7,207,17,5,13,13,37,4,21,5,406,5,64,156,9,2,2,21,4,3,2,14,13,2,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,17,5
0,2175630,3789,4999,7,111,60,4,13,78,23,2,23,2,344,3,25,141,4,2,2,30,-1,-1,1,12,9,4,18,-1,-1,2,2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,24,5
0,1270386,4533,6375,8,156,56,5,13,58,37,4,21,5,128,3,88,180,9,2,2,45,14,3,2,20,7,3,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,5
0,1420718,3854,3367,7,207,17,5,12,13,37,4,21,7,370,5,99,141,9,2,2,26,4,3,2,20,12,2,14,-1,-1,5,1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,17,5
0,1318595,5489,4857,7,207,17,5,17,13,37,4,21,4,333,5,56,141,4,2,2,41,4,3,2,20,8,4,18,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,5
0,1401250,1777,5547,7,137,37,5,21,34,13,4,25,7,266,4,99,141,3,4,2,34,17,3,2,20,12,2,-1,-1,-1,2,4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,5
0,1132382,3494,4779,7,193,37,5,13,50,37,4,21,2,201,3,65,141,3,2,2,34,6,3,2,14,10,2,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,17,5
0,1066828,4631,5694,7,168,60,5,21,44,40,2,25,2,133,3,34,218,4,2,2,34,-1,-1,1,14,12,1,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,24,5
0,1638254,2082,3033,7,154,56,5,17,31,40,4,25,5,437,5,37,162,4,2,2,28,13,3,2,20,4,4,20,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,17,5
0,1881071,1863,6349,7,142,36,5,17,80,41,4,26,5,275,5,82,117,7,2,2,23,5,3,2,20,9,3,-1,-1,-1,2,4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,42,5
0,1256639,3110,2882,7,178,17,5,12,70,39,4,17,5,406,5,42,141,4,2,2,21,2,3,2,20,8,2,8,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,36,5
0,1373163,1223,2846,8,115,54,5,16,72,41,4,26,5,199,3,25,141,4,2,3,19,19,3,2,12,9,4,20,-1,-1,2,1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,26,5
0,1143258,1262,6752,7,122,18,5,17,56,18,4,29,7,437,5,41,193,9,2,2,28,14,3,2,20,15,4,-1,-1,-1,2,5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,14,5
0,1457802,2748,2741,6,132,60,3,11,78,23,2,23,5,370,5,45,141,4,2,2,26,-1,-1,1,20,8,5,18,-1,-1,2,3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,47,5
0,1422972,4982,5389,7,175,37,4,17,34,13,4,25,6,343,4,56,141,4,2,2,27,17,3,2,20,8,4,18,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,13,17,5
0,1709666,5808,1384,7,142,36,4,21,80,41,4,26,6,151,3,87,117,9,2,2,19,5,3,2,28,5,4,-1,-1,-1,2,3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,42,5
0,1401014,4982,5389,7,175,37,4,17,34,13,4,25,6,121,3,35,117,4,2,2,34,17,3,2,20,15,3,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,17,5
0,1994172,2235,6609,7,134,55,4,17,65,18,4,29,6,186,5,38,162,3,2,2,39,11,3,2,20,4,4,20,-1,-1,2,3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,14,5
0,1783557,5404,1303,6,170,60,3,16,29,23,2,11,5,257,5,29,141,7,2,2,34,-1,-1,1,20,9,3,20,-1,-1,2,3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,40,5
0,1767485,2456,4773,7,154,56,5,12,31,40,4,25,5,241,3,103,141,4,4,2,39,13,3,2,19,12,2,-1,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,17,5
0,1210227,4424,2233,6,168,37,5,18,44,40,4,25,6,331,3,41,193,4,2,2,14,9,3,2,20,15,4,20,-1,-1,2,4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,5
0,1119166,1225,4676,7,178,17,5,12,70,39,4,17,4,253,3,26,156,9,2,2,27,2,3,2,14,12,1,16,-1,-1,10,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,9,36,5
0,1136161,3869,6751,7,130,30,5,19,28,39,4,17,4,201,3,20,193,4,2,2,34,6,2,2,20,15,4,20,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,36,5
0,2141770,5338,2658,6,178,17,5,18,70,39,4,17,6,174,3,88,180,4,2,2,38,2,3,2,20,7,3,-1,-1,-1,2,5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,36,5
0,1529540,2951,4644,7,154,60,5,12,31,40,2,25,5,433,3,54,141,4,2,2,29,-1,-1,1,12,9,3,20,-1,-1,2,9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,9,24,5
0,1494150,4335,5710,7,150,17,5,11,11,39,4,17,5,416,5,38,162,4,2,2,12,6,3,2,20,4,4,20,-1,-1,5,1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,36,5
0,2135971,5360,4918,7,177,56,5,14,31,40,4,25,6,394,3,56,141,3,2,2,24,13,3,2,20,8,4,-1,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,17,5
0,1731355,3122,5210,6,139,60,3,16,78,23,2,23,5,243,3,38,162,4,2,3,43,-1,-1,1,20,4,4,20,1,-1,2,5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,38,5
0,1843598,5049,2504,7,104,37,5,19,50,37,4,21,6,241,3,20,193,9,2,2,39,6,3,2,20,15,4,-1,-1,-1,2,5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,5
0,1307626,3746,4688,4,143,60,3,12,78,23,2,23,5,187,4,29,141,9,2,3,37,-1,-1,1,20,9,3,20,1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,37,5
0,2125341,5404,1303,6,170,60,3,18,29,23,2,11,7,110,5,64,156,9,2,3,20,-1,-1,1,14,13,2,-1,-1,-1,2,8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,7,40,5
